1000	6
1500	2
2000	1
2500	2
3000	2
3500	2
4000	3
4500	3
5000	3
5500	3
6000	4
6500	4
7000	4
7500	5
8000	6
8500	4
9000	6
9500	5
10000	5
10500	7
11000	5
11500	5
12000	6
12500	4
13000	5
13500	4
14000	5
14500	4
15000	5
15500	5
16000	5
16500	5
17000	5
17500	6
18000	6
18500	6
19000	6
19500	7
20000	6
20500	6
21000	9
21500	7
22000	8
22500	7
23000	8
23500	8
24000	8
24500	8
25000	8
25500	9
26000	9
26500	9
27000	10
27500	9
28000	10
28500	9
29000	9
29500	9
30000	10
30500	10
31000	10
31500	11
32000	13
32500	11
33000	11
33500	11
34000	11
34500	12
35000	12
35500	11
36000	14
36500	13
37000	13
37500	13
38000	14
38500	14
39000	14
39500	14
40000	15
40500	13
41000	15
41500	15
42000	15
42500	14
43000	15
43500	19
44000	19
44500	20
45000	19
45500	18
46000	18
46500	18
47000	16
47500	17
48000	17
48500	18
49000	20
49500	21
50000	18
50500	18
51000	18
51500	19
52000	21
52500	19
53000	19
53500	20
54000	19
54500	19
55000	19
55500	19
56000	20
56500	21
57000	23
57500	23
58000	21
58500	22
59000	22
59500	22
60000	29
60500	23
61000	24
61500	25
62000	23
62500	26
63000	22
63500	23
64000	23
64500	23
65000	27
65500	27
66000	24
66500	26
67000	24
67500	24
68000	24
68500	27
69000	27
69500	27
70000	27
70500	25
71000	26
71500	25
72000	25
72500	27
73000	28
73500	27
74000	27
74500	27
75000	26
75500	29
76000	29
76500	29
77000	28
77500	30
78000	30
78500	35
79000	29
79500	30
80000	30
80500	30
81000	29
81500	34
82000	31
82500	32
83000	34
83500	31
84000	32
84500	31
85000	34
85500	39
86000	72
86500	70
87000	69
87500	70
88000	70
88500	73
89000	74
89500	73
90000	71
90500	70
91000	73
91500	74
92000	72
92500	75
93000	73
93500	73
94000	79
94500	80
95000	87
95500	77
96000	81
96500	77
97000	79
97500	90
98000	89
98500	87
99000	79
99500	79
100000	77
100500	39
101000	36
101500	37
102000	40
102500	39
103000	39
103500	43
104000	41
104500	42
105000	39
105500	39
106000	40
106500	43
107000	43
107500	45
108000	41
108500	42
109000	46
109500	44
110000	41
110500	41
111000	41
111500	45
112000	46
112500	45
113000	43
113500	43
114000	43
114500	44
115000	48
115500	47
116000	50
116500	47
117000	44
117500	44
118000	47
118500	45
119000	46
119500	45
120000	50
120500	46
121000	48
121500	49
122000	51
122500	50
123000	46
123500	47
124000	49
124500	48
125000	50
125500	52
126000	59
126500	52
127000	51
127500	52
128000	52
128500	49
129000	52
129500	50
130000	52
130500	50
131000	49
131500	51
132000	53
132500	56
133000	52
133500	56
134000	54
134500	55
135000	52
135500	70
136000	110
136500	116
137000	108
137500	112
138000	112
138500	112
139000	119
139500	122
140000	113
140500	124
141000	116
141500	111
142000	115
142500	117
143000	117
143500	116
144000	119
144500	61
145000	55
145500	59
146000	68
146500	60
147000	56
147500	55
148000	60
148500	57
149000	59
149500	64
150000	59
150500	63
151000	61
151500	60
152000	58
